_id_fr,model_utac,commercial_name,ntic,hybrid,power_admin,power_max_kw,transmission,cons_urb_l100km,cons_extraurb_l100km,cons_mix_l100km,co2_g_km,co_g_km,hc_g_km,nox_g_km,hc_nox_g_km,pm_g_km,kerb_weight_min_kg,mkerb_weight_max_kg,champ_v9,date_maj,fuel_display_name,fuel_grp,segment_grp,segment_ord,body_type_display_name,body_type_grp,tvv_clean,e (g/km),m (kg),w (mm),at1 (mm),at2 (mm),ec (cm3),ep (KW),z (Wh/km),tvv_composite,_merge,brand_group,kw_comp,co2_comp,kg_comp,fuel_comp,fuel_agree,tvv_comp,model_comp,kw_delta,co2_delta,kg_delta,tv_comp,fuel_comp_display,fuel_comp_grp,kw_comp_imputed,co2_comp_imputed,nox_comps,nox_comps_imputed,co_comps,co_comps_imputed,match_steps,r_merged,n_eu_records,n_fr_configs
0.0,159,159 1750 Tbi (200ch),M10ALFVP000G340,non,12.0,147.0,M 6,11.3,5.8,7.8,182.0,0.647,0.052,0.032,,0.002,1505.0,1505.0,715/2007*692/2008EURO5,juin-13,Petrol,Petrol,Upper-Medium,3,Station Wagon,Station Wagon,939AXN1B52C,182.0,1505.0,2703.0,1579.0,1559.0,1742.0,147.0,,939AXN1B52C,both,ALFA-ROMEO,147,182,1505,ES,True,939AXN1B52C,159,0,0,0,939AXN1B,Petrol,Petrol,False,False,0.032,False,0.647,False,Step 1: Exact TVV (T+Va+Ve),1.0,1,1
3.0,159,159 2.0 JTDm (136ch),M10ALFVP000F303,non,7.0,100.0,M 6,6.6,4.2,5.1,134.0,0.066,,0.149,0.175,0.001,1565.0,1565.0,715/2007*692/2008EURO5,juin-13,Diesel,Diesel,Upper-Medium,3,Sedan / Hatchback,Sedan / Hatchback,939AXR1B64B,134.0,1565.0,2703.0,1579.0,1559.0,1956.0,100.0,,939AXR1B64B,both,ALFA-ROMEO,100,134,1565,GO,True,939AXR1B64B,159,0,0,0,939AXR1B,Diesel,Diesel,False,False,0.149,False,0.066,False,Step 1: Exact TVV (T+Va+Ve),9.0,5,1
9.0,159,159 SW 2.0 JTDm (136ch),M10ALFVP000J307,non,7.0,100.0,M 6,6.8,4.3,5.2,137.0,0.066,,0.149,0.175,0.001,1615.0,1615.0,715/2007*692/2008EURO5,juin-13,Diesel,Diesel,Upper-Medium,3,Station Wagon,Station Wagon,939BXR1B65B,137.0,1615.0,2703.0,1579.0,1559.0,1956.0,100.0,,939BXR1B65B,both,ALFA-ROMEO,100,137,1615,GO,True,939BXR1B65B,159,0,0,0,939BXR1B,Diesel,Diesel,False,False,0.149,False,0.066,False,Step 1: Exact TVV (T+Va+Ve),2.0,2,1
10.0,159,159 SW 2.0 JTDm (170ch),M10ALFVP000K308,non,9.0,125.0,M 6,7.1,4.4,5.4,142.0,0.06,,0.164,0.193,0.001,1615.0,1615.0,715/2007*692/2008EURO5,juin-13,Diesel,Diesel,Upper-Medium,3,Station Wagon,Station Wagon,939BXS1B67,142.0,1605.0,2703.0,1579.0,1559.0,1956.0,125.0,,939BXS1B67,both,ALFA-ROMEO,125,142,1615,GO,True,939BXS1B67,159,0,0,10,939BXS1B,Diesel,Diesel,False,False,0.164,False,0.06,False,Step 1: Exact TVV (T+Va+Ve),6.0,2,1
22.0,GIULIETTA,GIULIETTA 1.4 T-jet (120ch) S/S,M10ALFVP000Y322,non,7.0,88.0,M 6,8.4,5.3,6.4,149.0,0.356,0.03,0.026,,,1355.0,1355.0,715/2007*692/2008EURO5,juin-13,Petrol,Petrol,Lower-Medium,2,Sedan / Hatchback,Sedan / Hatchback,940FXA1A00B,149.0,1355.0,2634.0,1554.0,1554.0,1368.0,88.0,,940FXA1A00B,both,ALFA-ROMEO,88,149,1355,ES,True,940FXA1A00B,GIULIETTA,0,0,0,940FXA1A,Petrol,Petrol,False,False,0.026,False,0.356,False,Step 1: Exact TVV (T+Va+Ve),626.0,42,3
27.0,GIULIETTA,GIULIETTA 1.4 TB MultiAir TCT (170ch) S/S,M10ALFVP000R314,non,9.0,125.0,D 6,6.7,4.3,5.2,121.0,0.44,0.037,0.03,,,1380.0,1380.0,715/2007*692/2008EURO5,juin-13,Petrol,Petrol,Lower-Medium,2,Sedan / Hatchback,Sedan / Hatchback,940FXB1110,121.0,1380.0,2634.0,1554.0,1554.0,1368.0,125.0,,940FXB1110,both,ALFA-ROMEO,125,121,1380,ES,True,940FXB1110,GIULIETTA,0,0,0,940FXB11,Petrol,Petrol,False,False,0.03,False,0.44,False,Step 1: Exact TVV (T+Va+Ve) | Step 3: String Match Both,252.0,64,2
33.0,GIULIETTA,GIULIETTA 1.4 TB MultiAir (170ch) S/S,M10ALFVP000Z323,non,9.0,125.0,M 6,7.8,4.6,5.8,134.0,0.276,0.048,0.029,,,1365.0,1365.0,715/2007*692/2008EURO5,juin-13,Petrol,Petrol,Lower-Medium,2,Sedan / Hatchback,Sedan / Hatchback,940FXB1A01B,134.0,1365.0,2634.0,1554.0,1554.0,1368.0,125.0,,940FXB1A01B,both,ALFA-ROMEO,125,134,1365,ES,True,940FXB1A01B,GIULIETTA,0,0,0,940FXB1A,Petrol,Petrol,False,False,0.029,False,0.276,False,Step 1: Exact TVV (T+Va+Ve),280.0,73,2
41.0,GIULIETTA,GIULIETTA 1.6 JTDm (105ch) S/S,M10ALFVP000L345,non,5.0,77.0,M 6,5.5,3.7,4.4,114.0,0.215,,0.173,0.207,0.001,1385.0,1385.0,715/2007*692/2008EURO5,juin-13,Diesel,Diesel,Lower-Medium,2,Sedan / Hatchback,Sedan / Hatchback,940FXD1A03B,114.0,1385.0,2634.0,1554.0,1554.0,1598.0,77.0,,940FXD1A03B,both,ALFA-ROMEO,77,114,1385,GO,True,940FXD1A03B,GIULIETTA,0,0,0,940FXD1A,Diesel,Diesel,False,False,0.173,False,0.215,False,Step 1: Exact TVV (T+Va+Ve),2099.0,63,2
42.0,GIULIETTA,GIULIETTA 2.0 JTDm TCT (170ch) S/S,M10ALFVP000U318,non,9.0,125.0,D 6,5.3,4.0,4.5,119.0,0.182,,0.16,0.186,0.001,1410.0,1410.0,715/2007*692/2008EURO5,juin-13,Diesel,Diesel,Lower-Medium,2,Sedan / Hatchback,Sedan / Hatchback,940FXE1111,119.0,1410.0,2634.0,1554.0,1554.0,1956.0,125.0,,940FXE1111,both,ALFA-ROMEO,125,119,1410,GO,True,940FXE1111,GIULIETTA,0,0,0,940FXE11,Diesel,Diesel,False,False,0.16,False,0.182,False,Step 1: Exact TVV (T+Va+Ve),346.0,61,2
46.0,GIULIETTA,GIULIETTA 2.0 JTDm (170ch) S/S,M10ALFVP000M346,non,9.0,125.0,M 6,5.8,4.1,4.7,124.0,0.152,,0.158,0.201,0.002,1395.0,1395.0,715/2007*692/2008EURO5,juin-13,Diesel,Diesel,Lower-Medium,2,Sedan / Hatchback,Sedan / Hatchback,940FXE1A04B,124.0,1395.0,2634.0,1554.0,1554.0,1956.0,125.0,,940FXE1A04B,both,ALFA-ROMEO,125,124,1395,GO,True,940FXE1A04B,GIULIETTA,0,0,0,940FXE1A,Diesel,Diesel,False,False,0.158,False,0.152,False,Step 1: Exact TVV (T+Va+Ve) | Step 3: String Match Both,81.0,34,1
